Tag	Monat	Jahr	Zahl1A	Zahl2A	Zahl3A	Zahl4A	Zahl5A	Zahl6A	ZusatzzahlA	Zahl1B	Zahl2B	Zahl3B	Zahl4B	Zahl5B	Zahl6B	ZusatzzahlB	Superzahl1	Superzahl2
8	6	1988	22	32	3	35	43	13	46		37	5	7	15	41	35	17		 	
15	6	1988	30	10	27	29	7	14	18		16	36	24	18	12	14	8		 	
22	6	1988	15	49	45	8	24	5	25		28	41	3	26	2	14	43		 	
29	6	1988	46	27	11	38	35	48	34		32	23	18	42	13	28	8		 	
6	7	1988	10	14	12	7	6	49	26		30	31	27	2	19	7	35		 	
13	7	1988	34	19	17	10	47	22	14		14	6	13	15	11	3	18		 	
20	7	1988	32	16	44	27	5	45	13		40	33	17	44	34	48	2		 	
27	7	1988	26	17	10	11	41	40	48		9	21	41	38	46	36	40		 	
3	8	1988	13	7	15	11	4	47	18		21	2	5	9	31	12	48		 	
10	8	1988	38	32	6	11	18	5	16		46	18	10	13	27	16	1		 	
17	8	1988	47	45	41	15	42	4	38		16	20	9	34	36	46	14		 	
24	8	1988	21	13	20	1	43	15	5		14	37	31	30	32	24	13		 	
31	8	1988	26	43	47	7	25	5	41		40	41	17	33	36	31	39		 	
7	9	1988	46	25	22	13	26	5	18		46	18	7	14	3	21	44		 	
14	9	1988	2	13	23	26	20	40	19		22	19	44	39	36	27	37		 	
21	9	1988	28	36	47	14	2	41	32		11	25	17	48	38	47	26		 	
28	9	1988	7	38	16	22	40	42	4		36	35	18	30	9	2	42		 	
5	10	1988	38	37	13	11	4	9	21		11	27	7	5	24	47	31		 	
12	10	1988	5	9	12	3	47	24	11		31	2	23	44	7	3	13		 	
19	10	1988	13	26	12	1	44	40	24		48	46	4	25	26	36	12		 	
26	10	1988	19	43	13	22	20	31	29		46	22	47	35	48	23	29		 	
2	11	1988	26	35	48	23	2	40	31		1	42	19	39	30	21	40		 	
9	11	1988	13	31	7	37	2	20	8		5	2	24	49	9	47	38		 	
16	11	1988	48	17	44	11	14	1	45		14	28	7	8	27	25	45		 	
23	11	1988	33	11	40	2	6	49	16		23	8	17	5	13	30	47		 	
30	11	1988	38	20	29	21	42	48	23		29	16	3	10	27	44	23		 	
7	12	1988	42	38	48	18	47	41	43		10	49	35	43	38	41	47		 	
14	12	1988	4	22	1	5	20	13	25		3	24	31	41	39	12	21		 	
21	12	1988	6	30	35	13	19	5	37		26	14	37	44	29	2	4		 	
28	12	1988	15	25	18	19	6	9	36		27	45	38	8	10	43	4		 	
4	1	1989	37	46	33	30	6	34	48		33	10	12	1	38	5	29		 	
11	1	1989	4	38	36	1	7	15	21		29	43	27	12	39	44	10		 	
18	1	1989	2	30	38	35	40	44	39		30	25	9	6	21	10	28		 	
25	1	1989	2	9	24	31	4	40	5		47	28	23	9	38	42	10		 	
1	2	1989	44	1	18	4	12	8	16		19	37	30	34	1	16	20		 	
8	2	1989	22	30	14	29	34	4	21		32	1	43	45	16	23	49		 	
15	2	1989	46	44	2	17	3	14	24		37	41	25	29	20	48	45		 	
22	2	1989	19	43	11	36	9	39	6		16	25	34	19	17	7	6		 	
1	3	1989	31	29	41	17	4	19	10		28	5	20	24	11	10	8		 	
8	3	1989	9	45	40	39	24	34	21		42	9	12	5	36	45	11		 	
15	3	1989	3	29	40	44	2	13	18		8	1	38	47	39	12	46		 	
22	3	1989	4	6	33	11	49	34	32		45	37	27	48	30	38	29		 	
29	3	1989	12	36	49	8	18	24	17		1	3	36	45	24	8	42		 	
5	4	1989	44	26	37	33	10	49	14		33	35	49	19	9	5	40		 	
12	4	1989	13	16	27	36	35	29	28		27	25	13	45	26	1	8		 	
19	4	1989	48	30	1	36	37	19	27		45	47	38	39	46	43	4		 	
26	4	1989	8	30	18	28	40	37	9		23	38	21	32	3	14	27		 	
3	5	1989	20	41	34	15	13	39	5		37	2	24	38	7	17	25		 	
10	5	1989	46	14	23	24	29	44	6		39	15	11	47	4	32	33		 	
17	5	1989	21	31	46	17	4	42	37		6	20	3	41	48	4	38		 	
24	5	1989	13	6	35	20	29	31	49		3	31	49	26	30	5	14		 	
31	5	1989	16	37	32	3	36	20	25		33	20	31	21	19	13	4		 	
7	6	1989	17	39	24	40	23	14	37		2	18	28	26	21	27	7		 	
14	6	1989	3	10	7	16	21	30	37		15	21	13	45	16	25	23		 	
21	6	1989	33	49	12	38	43	30	44		24	21	34	39	46	30	33		 	
28	6	1989	49	5	7	3	47	36	25		13	47	45	8	29	20	46		 	
5	7	1989	22	40	3	47	15	19	11		45	49	5	44	23	10	31		 	
12	7	1989	9	3	39	49	21	45	32		20	46	28	10	37	49	35		 	
19	7	1989	11	25	12	42	35	20	21		47	5	39	7	20	14	49		 	
26	7	1989	37	34	48	41	40	20	18		25	45	38	27	48	20	23		 	
2	8	1989	43	12	17	48	14	49	20		40	8	34	27	10	41	12		 	
9	8	1989	40	33	29	41	49	22	21		14	15	27	6	21	11	7		 	
16	8	1989	18	16	5	19	4	8	7		24	43	19	40	39	32	46		 	
23	8	1989	4	34	45	42	41	10	7		4	40	43	36	10	2	14		 	
30	8	1989	13	45	33	8	3	41	28		30	33	45	6	23	42	28		 	
6	9	1989	49	12	34	3	43	7	27		21	34	7	33	1	19	27		 	
13	9	1989	4	9	35	36	21	20	46		34	3	15	21	14	16	1		 	
20	9	1989	43	15	3	32	6	22	4		8	27	9	47	21	35	6		 	
27	9	1989	28	14	31	46	22	12	10		13	9	15	36	42	7	43		 	
